feature,unique_values,missing_train,missing_validation,train_corr,validation_corr,feature_only_mae,feature_only_mae_minus_baseline,abs_validation_corr
surface_pressure,5407,0,0,-0.031687,-0.009867,6600.1436,-1246.0001,0.009867
is_holiday,2,0,0,-0.064607,0.011786,6762.8606,-1083.2831,0.011786
cal_is_bank_holiday_scotland,2,0,0,-0.064459,0.011786,6703.4106,-1142.7331,0.011786
shortwave_radiation,6498,0,0,0.037802,-0.076676,7076.7443,-769.3993,0.076676
cal_is_event_day,2,0,0,-0.0329,0.07878,6681.7154,-1164.4282,0.07878
cloud_cover,913,0,0,0.099049,-0.080175,6777.6665,-1068.4772,0.080175
relative_humidity_2m,433,0,0,-0.033927,-0.095215,7050.1276,-796.016,0.095215
wind_speed_10m,2802,0,0,0.08643,-0.150649,6709.1012,-1137.0424,0.150649
rain,91,0,0,-0.00795,0.169875,6818.3908,-1027.7528,0.169875
precipitation,93,0,0,0.004329,0.170605,6828.6411,-1017.5025,0.170605
temperature_2m,2298,0,0,-0.300344,0.325716,5264.0308,-2582.1129,0.325716
apparent_temperature,2746,0,0,-0.316559,0.330475,5048.0292,-2798.1144,0.330475
cal_is_non_working_day,2,0,0,-0.227498,-0.397683,6954.7807,-891.3629,0.397683
weekend,2,0,0,-0.210346,-0.416893,6947.4203,-898.7233,0.416893
cal_is_bank_holiday_england_wales,2,0,0,-0.085303,,6854.6384,-991.5053,
cal_is_covid_lockdown,2,0,0,-0.033694,,6821.9196,-1024.224,
cal_is_general_election,2,0,0,0.002092,,6762.862,-1083.2817,
econ_unemployment_rate_lag1m,42,0,0,0.437616,,4428.3585,-3417.7851,
econ_gdp_index_lag1m,134,0,0,-0.418567,,2753.2231,-5092.9206,
econ_industrial_production_index_lag1m,114,0,0,-0.223534,,2748.4245,-5097.7192,
econ_cpi_index_lag1m,144,0,0,-0.450703,,2733.2717,-5112.8719,
