config_id,variant,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,fold,mae,rmse,mape,r2
weather + lags + is_holiday_cp0.05_sp5.0_additive,weather + lags + is_holiday,0.05,5.0,additive,aug_2025,1068.3702,1408.4746,4.9858,0.802
weather + lags + is_holiday_cp0.05_sp5.0_additive,weather + lags + is_holiday,0.05,5.0,additive,nov_2025,1200.9059,1541.7743,4.0727,0.9341
weather + lags + is_holiday_cp0.05_sp5.0_additive,weather + lags + is_holiday,0.05,5.0,additive,feb_2026,1295.3503,1771.9448,4.2527,0.9018
weather + lags + is_holiday_cp0.05_sp5.0_additive,weather + lags + is_holiday,0.05,5.0,additive,may_2026,1051.8772,1395.3331,4.8265,0.8211
weather + lags + is_holiday_cp0.05_sp5.0_multiplicative,weather + lags + is_holiday,0.05,5.0,multiplicative,aug_2025,1054.9259,1389.0176,4.9326,0.8075
weather + lags + is_holiday_cp0.05_sp5.0_multiplicative,weather + lags + is_holiday,0.05,5.0,multiplicative,nov_2025,1192.9037,1528.0188,4.0235,0.9353
weather + lags + is_holiday_cp0.05_sp5.0_multiplicative,weather + lags + is_holiday,0.05,5.0,multiplicative,feb_2026,1252.3714,1722.5748,4.1182,0.9072
weather + lags + is_holiday_cp0.05_sp5.0_multiplicative,weather + lags + is_holiday,0.05,5.0,multiplicative,may_2026,1054.7188,1395.9667,4.8444,0.821
weather + lags + is_holiday_cp0.05_sp10.0_additive,weather + lags + is_holiday,0.05,10.0,additive,aug_2025,1068.057,1408.2977,4.9842,0.8021
weather + lags + is_holiday_cp0.05_sp10.0_additive,weather + lags + is_holiday,0.05,10.0,additive,nov_2025,1200.7376,1541.6219,4.072,0.9341
weather + lags + is_holiday_cp0.05_sp10.0_additive,weather + lags + is_holiday,0.05,10.0,additive,feb_2026,1294.8144,1771.0899,4.251,0.9019
weather + lags + is_holiday_cp0.05_sp10.0_additive,weather + lags + is_holiday,0.05,10.0,additive,may_2026,1052.3016,1395.782,4.8285,0.821
weather + lags + is_holiday_cp0.05_sp10.0_multiplicative,weather + lags + is_holiday,0.05,10.0,multiplicative,aug_2025,1055.2185,1389.3092,4.9337,0.8074
weather + lags + is_holiday_cp0.05_sp10.0_multiplicative,weather + lags + is_holiday,0.05,10.0,multiplicative,nov_2025,1192.7636,1527.8504,4.0229,0.9353
weather + lags + is_holiday_cp0.05_sp10.0_multiplicative,weather + lags + is_holiday,0.05,10.0,multiplicative,feb_2026,1254.3739,1725.7876,4.1254,0.9069
weather + lags + is_holiday_cp0.05_sp10.0_multiplicative,weather + lags + is_holiday,0.05,10.0,multiplicative,may_2026,1055.3932,1396.5636,4.8476,0.8208
weather + lags + is_holiday_cp0.1_sp5.0_additive,weather + lags + is_holiday,0.1,5.0,additive,aug_2025,1068.036,1407.8359,4.9848,0.8022
weather + lags + is_holiday_cp0.1_sp5.0_additive,weather + lags + is_holiday,0.1,5.0,additive,nov_2025,1200.1117,1541.0609,4.0698,0.9342
weather + lags + is_holiday_cp0.1_sp5.0_additive,weather + lags + is_holiday,0.1,5.0,additive,feb_2026,1295.2223,1771.6967,4.2522,0.9018
weather + lags + is_holiday_cp0.1_sp5.0_additive,weather + lags + is_holiday,0.1,5.0,additive,may_2026,1052.529,1396.0015,4.8295,0.821
weather + lags + is_holiday_cp0.1_sp5.0_multiplicative,weather + lags + is_holiday,0.1,5.0,multiplicative,aug_2025,1055.4753,1389.424,4.9358,0.8074
weather + lags + is_holiday_cp0.1_sp5.0_multiplicative,weather + lags + is_holiday,0.1,5.0,multiplicative,nov_2025,1192.9393,1528.0204,4.0233,0.9353
weather + lags + is_holiday_cp0.1_sp5.0_multiplicative,weather + lags + is_holiday,0.1,5.0,multiplicative,feb_2026,1255.0152,1726.613,4.1273,0.9068
weather + lags + is_holiday_cp0.1_sp5.0_multiplicative,weather + lags + is_holiday,0.1,5.0,multiplicative,may_2026,1058.0399,1399.0364,4.8596,0.8202
weather + lags + is_holiday_cp0.1_sp10.0_additive,weather + lags + is_holiday,0.1,10.0,additive,aug_2025,1069.2031,1406.5303,4.9942,0.8026
weather + lags + is_holiday_cp0.1_sp10.0_additive,weather + lags + is_holiday,0.1,10.0,additive,nov_2025,1199.0728,1539.8646,4.0664,0.9343
weather + lags + is_holiday_cp0.1_sp10.0_additive,weather + lags + is_holiday,0.1,10.0,additive,feb_2026,1294.628,1770.7562,4.2502,0.9019
weather + lags + is_holiday_cp0.1_sp10.0_additive,weather + lags + is_holiday,0.1,10.0,additive,may_2026,1052.2447,1395.7143,4.828,0.821
weather + lags + is_holiday_cp0.1_sp10.0_multiplicative,weather + lags + is_holiday,0.1,10.0,multiplicative,aug_2025,1055.269,1389.3131,4.9346,0.8074
weather + lags + is_holiday_cp0.1_sp10.0_multiplicative,weather + lags + is_holiday,0.1,10.0,multiplicative,nov_2025,1192.9148,1527.9771,4.0233,0.9353
weather + lags + is_holiday_cp0.1_sp10.0_multiplicative,weather + lags + is_holiday,0.1,10.0,multiplicative,feb_2026,1253.7709,1724.8746,4.1232,0.907
weather + lags + is_holiday_cp0.1_sp10.0_multiplicative,weather + lags + is_holiday,0.1,10.0,multiplicative,may_2026,1055.0289,1396.2629,4.8458,0.8209
weather + lags + prophet_uk_holidays_cp0.05_sp5.0_additive,weather + lags + prophet_uk_holidays,0.05,5.0,additive,aug_2025,1067.5552,1506.1696,5.0086,0.7736
weather + lags + prophet_uk_holidays_cp0.05_sp5.0_additive,weather + lags + prophet_uk_holidays,0.05,5.0,additive,nov_2025,1192.0905,1530.917,4.0386,0.935
weather + lags + prophet_uk_holidays_cp0.05_sp5.0_additive,weather + lags + prophet_uk_holidays,0.05,5.0,additive,feb_2026,1286.4348,1760.3974,4.2249,0.9031
weather + lags + prophet_uk_holidays_cp0.05_sp5.0_additive,weather + lags + prophet_uk_holidays,0.05,5.0,additive,may_2026,1050.8147,1404.4019,4.81,0.8188
weather + lags + prophet_uk_holidays_cp0.05_sp5.0_multiplicative,weather + lags + prophet_uk_holidays,0.05,5.0,multiplicative,aug_2025,1056.2507,1490.3002,4.9657,0.7784
weather + lags + prophet_uk_holidays_cp0.05_sp5.0_multiplicative,weather + lags + prophet_uk_holidays,0.05,5.0,multiplicative,nov_2025,1187.8046,1522.4066,3.9984,0.9358
weather + lags + prophet_uk_holidays_cp0.05_sp5.0_multiplicative,weather + lags + prophet_uk_holidays,0.05,5.0,multiplicative,feb_2026,1245.7006,1714.3437,4.0971,0.9081
weather + lags + prophet_uk_holidays_cp0.05_sp5.0_multiplicative,weather + lags + prophet_uk_holidays,0.05,5.0,multiplicative,may_2026,1050.695,1401.9601,4.8159,0.8194
weather + lags + prophet_uk_holidays_cp0.05_sp10.0_additive,weather + lags + prophet_uk_holidays,0.05,10.0,additive,aug_2025,1066.556,1505.7643,5.0024,0.7738
weather + lags + prophet_uk_holidays_cp0.05_sp10.0_additive,weather + lags + prophet_uk_holidays,0.05,10.0,additive,nov_2025,1192.9351,1531.8545,4.0413,0.935
weather + lags + prophet_uk_holidays_cp0.05_sp10.0_additive,weather + lags + prophet_uk_holidays,0.05,10.0,additive,feb_2026,1287.3963,1761.9882,4.2279,0.9029
weather + lags + prophet_uk_holidays_cp0.05_sp10.0_additive,weather + lags + prophet_uk_holidays,0.05,10.0,additive,may_2026,1050.782,1404.3387,4.8099,0.8188
weather + lags + prophet_uk_holidays_cp0.05_sp10.0_multiplicative,weather + lags + prophet_uk_holidays,0.05,10.0,multiplicative,aug_2025,1056.3318,1490.372,4.9659,0.7784
weather + lags + prophet_uk_holidays_cp0.05_sp10.0_multiplicative,weather + lags + prophet_uk_holidays,0.05,10.0,multiplicative,nov_2025,1186.004,1520.4866,3.9932,0.9359
weather + lags + prophet_uk_holidays_cp0.05_sp10.0_multiplicative,weather + lags + prophet_uk_holidays,0.05,10.0,multiplicative,feb_2026,1247.6721,1717.4683,4.1041,0.9078
weather + lags + prophet_uk_holidays_cp0.05_sp10.0_multiplicative,weather + lags + prophet_uk_holidays,0.05,10.0,multiplicative,may_2026,1049.958,1401.2764,4.8125,0.8196
weather + lags + prophet_uk_holidays_cp0.1_sp5.0_additive,weather + lags + prophet_uk_holidays,0.1,5.0,additive,aug_2025,1069.4691,1506.853,5.0222,0.7734
weather + lags + prophet_uk_holidays_cp0.1_sp5.0_additive,weather + lags + prophet_uk_holidays,0.1,5.0,additive,nov_2025,1192.9904,1531.8067,4.0416,0.935
weather + lags + prophet_uk_holidays_cp0.1_sp5.0_additive,weather + lags + prophet_uk_holidays,0.1,5.0,additive,feb_2026,1287.1231,1761.5865,4.2269,0.903
weather + lags + prophet_uk_holidays_cp0.1_sp5.0_additive,weather + lags + prophet_uk_holidays,0.1,5.0,additive,may_2026,1051.3009,1404.9023,4.8123,0.8187
weather + lags + prophet_uk_holidays_cp0.1_sp5.0_multiplicative,weather + lags + prophet_uk_holidays,0.1,5.0,multiplicative,aug_2025,1057.4573,1491.3189,4.9724,0.7781
weather + lags + prophet_uk_holidays_cp0.1_sp5.0_multiplicative,weather + lags + prophet_uk_holidays,0.1,5.0,multiplicative,nov_2025,1186.3268,1520.7574,3.994,0.9359
weather + lags + prophet_uk_holidays_cp0.1_sp5.0_multiplicative,weather + lags + prophet_uk_holidays,0.1,5.0,multiplicative,feb_2026,1249.8888,1721.0194,4.112,0.9074
weather + lags + prophet_uk_holidays_cp0.1_sp5.0_multiplicative,weather + lags + prophet_uk_holidays,0.1,5.0,multiplicative,may_2026,1051.5082,1402.8881,4.8197,0.8192
weather + lags + prophet_uk_holidays_cp0.1_sp10.0_additive,weather + lags + prophet_uk_holidays,0.1,10.0,additive,aug_2025,1067.615,1506.1566,5.0093,0.7736
weather + lags + prophet_uk_holidays_cp0.1_sp10.0_additive,weather + lags + prophet_uk_holidays,0.1,10.0,additive,nov_2025,1191.648,1530.4592,4.037,0.9351
weather + lags + prophet_uk_holidays_cp0.1_sp10.0_additive,weather + lags + prophet_uk_holidays,0.1,10.0,additive,feb_2026,1286.703,1760.8593,4.2256,0.903
weather + lags + prophet_uk_holidays_cp0.1_sp10.0_additive,weather + lags + prophet_uk_holidays,0.1,10.0,additive,may_2026,1051.6368,1405.3253,4.8139,0.8186
weather + lags + prophet_uk_holidays_cp0.1_sp10.0_multiplicative,weather + lags + prophet_uk_holidays,0.1,10.0,multiplicative,aug_2025,1056.9494,1490.8532,4.9693,0.7782
weather + lags + prophet_uk_holidays_cp0.1_sp10.0_multiplicative,weather + lags + prophet_uk_holidays,0.1,10.0,multiplicative,nov_2025,1185.0335,1519.609,3.9904,0.936
weather + lags + prophet_uk_holidays_cp0.1_sp10.0_multiplicative,weather + lags + prophet_uk_holidays,0.1,10.0,multiplicative,feb_2026,1246.787,1716.0617,4.1008,0.9079
weather + lags + prophet_uk_holidays_cp0.1_sp10.0_multiplicative,weather + lags + prophet_uk_holidays,0.1,10.0,multiplicative,may_2026,1051.4058,1402.5352,4.8193,0.8193
