model,mean_mae,std_mae,mean_rmse,std_rmse,mean_mape,std_mape,mean_r2,std_r2
weather + lags + is_holiday,1153.7871499999999,114.53131419114165,1528.2163500000001,174.47592822018933,4.5347,0.4462474201606102,0.86495,0.063229344453347
weather + lags + prophet_uk_holidays,1149.4007,110.88047139492144,1550.7001,150.21599919753336,4.52145,0.46394814724636324,0.857575,0.07448580961051134
weather + lag24 + lag168,1163.7483,103.77196659380927,1575.0301,130.7458966912538,4.591125,0.5179952469215653,0.85205,0.07766099407038263
weather + lag24,1249.47025,81.49308373412222,1671.3396,124.06941811803036,4.987475,0.7534790967018706,0.829825,0.09578665094886658
weather + lag168,1443.300375,79.72123454406092,1957.900525,104.80104036822581,5.6818,0.8860841683120928,0.769825,0.12616408297662737
weather + econ_unemployment_rate_lag1m,1920.04115,533.2832265621494,2390.256325,578.3426528189113,7.962899999999999,3.466942007975712,0.55645,0.399043276683954
weather + prophet_uk_holidays,1933.723675,553.8016331714174,2411.1207750000003,599.2158313136003,8.020425,3.5361644705103865,0.54645,0.41225734276864817
weather + is_holiday,1939.283225,556.9120869916925,2418.5639499999997,604.2957788134024,8.039,3.54781167388199,0.543675,0.41643331899196856
weather + weekend,1938.0548250000002,546.1120130487723,2419.5468,593.2389363918386,8.039925,3.512701806658231,0.5467,0.4122122915844861
weather + cal_is_non_working_day,1941.5755,547.5657510694767,2419.839725,585.1643139866977,8.052325,3.5078362555617293,0.547575,0.4095415109200368
weather_only,1939.81015,544.7153957586078,2421.3646,590.8658524217885,8.044475,3.509056271397388,0.54625,0.41182855251508077
weather + cal_is_major_football,1939.81015,544.7153957586078,2421.3646,590.8658524217885,8.044475,3.509056271397388,0.54625,0.41182855251508077
weather + cal_is_general_election,1940.49405,545.0630169956835,2422.2223249999997,591.3417539087153,8.04675,3.5114267323506363,0.545775,0.41221299005085543
weather + cal_is_covid_lockdown,1941.185975,537.8940817958022,2426.52005,581.3849600439655,8.0461,3.4811140678428414,0.5467,0.4094416523348189
weather + cal_event_count,1948.61125,541.4865757741891,2436.3605,585.4847774851652,8.073,3.495987884227671,0.54275,0.4132880553157406
weather + econ_gdp_index_lag1m,1951.940325,560.1398850895632,2438.41505,610.4705241900791,8.094249999999999,3.5652720480584175,0.538025,0.42343876672627256
weather + econ_cpi_index_lag1m,1956.8485,575.2871978518092,2439.2192999999997,636.5460858927237,8.113825,3.6341432895755044,0.5307999999999999,0.4336242228781352
weather + econ_industrial_production_index_lag1m,1965.793875,570.3781022299586,2455.620825,627.5982871239498,8.1493,3.6138548329081135,0.5295,0.43562212218083385
prophet_uk_holidays,2578.53965,817.833256697682,3163.4408999999996,901.8568483856218,10.8343,5.2734077849780086,0.18922500000000003,0.7648367728912273
seasonality_only,2596.683325,820.7119565960414,3187.96795,911.210281223094,10.905775,5.290166782106214,0.17575000000000002,0.7771360434312644
