SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,FORECAST_ACTUAL_INDICATOR,TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,SCOTTISH_TRANSFER,IFA_FLOW,IFA2_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,NEMO_FLOW,NSL_FLOW,ELECLINK_FLOW,VIKING_FLOW,GREENLINK_FLOW
2026-01-01,1,25107.0,A,29668.0,23625.0,4146.0,6417.0,0.0,22267.0,0.0,455.0,2945.0,-1143.0,-610.0,989.0,-361.0,-527.0,209.0,677.0,-352.0,1021.0,-513.0
2026-01-01,2,25881.0,A,30361.0,24341.0,4188.0,6417.0,0.0,22267.0,0.0,455.0,2909.0,-1132.0,-606.0,1005.0,-361.0,-453.0,243.0,648.0,-359.0,994.0,-514.0
2026-01-01,3,25355.0,A,30681.0,23805.0,4085.0,6417.0,0.0,22267.0,0.0,546.0,3061.0,-1433.0,-594.0,844.0,-361.0,-524.0,343.0,667.0,-754.0,994.0,-514.0
2026-01-01,4,24762.0,A,30225.0,23226.0,4092.0,6417.0,0.0,22267.0,0.0,629.0,2980.0,-1469.0,-589.0,837.0,-361.0,-531.0,346.0,650.0,-770.0,990.0,-514.0
2026-01-01,5,24111.0,A,29092.0,22653.0,4044.0,6417.0,0.0,22267.0,0.0,834.0,3089.0,-1236.0,-431.0,949.0,-361.0,-531.0,146.0,413.0,-475.0,990.0,-513.0
2026-01-01,6,23637.0,A,28521.0,22147.0,4149.0,6417.0,0.0,22267.0,0.0,787.0,3323.0,-1208.0,-423.0,953.0,-361.0,-531.0,139.0,359.0,-460.0,990.0,-514.0
2026-01-01,7,22745.0,A,27909.0,21334.0,4142.0,6417.0,0.0,22267.0,0.0,1002.0,3649.0,-1030.0,-530.0,726.0,-361.0,-531.0,82.0,56.0,-596.0,990.0,-514.0
2026-01-01,8,22061.0,A,27224.0,20657.0,4093.0,6417.0,0.0,22267.0,0.0,997.0,3778.0,-1007.0,-540.0,716.0,-361.0,-531.0,80.0,7.0,-613.0,990.0,-514.0
2026-01-01,9,21715.0,A,27508.0,20229.0,4100.0,6417.0,0.0,22267.0,0.0,983.0,4063.0,-1174.0,-617.0,655.0,-361.0,-531.0,167.0,-126.0,-887.0,970.0,-514.0
2026-01-01,10,21429.0,A,27288.0,19981.0,4219.0,6417.0,0.0,22267.0,0.0,988.0,4103.0,-1195.0,-624.0,652.0,-361.0,-531.0,164.0,-143.0,-903.0,968.0,-514.0
2026-01-01,11,21099.0,A,27198.0,19657.0,4192.0,6417.0,0.0,22267.0,0.0,984.0,4180.0,-1032.0,-687.0,738.0,-361.0,-531.0,-387.0,-148.0,-855.0,985.0,-514.0
2026-01-01,12,21047.0,A,27136.0,19640.0,4210.0,6417.0,0.0,22267.0,0.0,966.0,4338.0,-1011.0,-683.0,741.0,-361.0,-531.0,-412.0,-162.0,-849.0,986.0,-514.0
2026-01-01,13,21525.0,A,27110.0,20093.0,4224.0,6417.0,0.0,22267.0,0.0,967.0,4176.0,-1047.0,-397.0,786.0,-361.0,-531.0,-45.0,-337.0,-786.0,976.0,-514.0
2026-01-01,14,21786.0,A,27310.0,20377.0,4199.0,6417.0,0.0,22267.0,0.0,941.0,4349.0,-1050.0,-378.0,787.0,-361.0,-531.0,-20.0,-350.0,-780.0,975.0,-513.0
2026-01-01,15,22674.0,A,27214.0,21229.0,4064.0,6417.0,0.0,22267.0,0.0,686.0,4344.0,-484.0,-406.0,799.0,-421.0,-531.0,641.0,-241.0,-658.0,985.0,-513.0
2026-01-01,16,22862.0,A,27553.0,21399.0,3997.0,6417.0,0.0,22267.0,0.0,928.0,4378.0,-415.0,-397.0,799.0,-452.0,-531.0,676.0,-221.0,-633.0,986.0,-514.0
2026-01-01,17,24036.0,A,27423.0,22496.0,3864.0,6417.0,2.0,22267.0,0.0,951.0,4390.0,-125.0,-30.0,665.0,-452.0,-531.0,833.0,-150.0,-35.0,986.0,-513.0
2026-01-01,18,24747.0,A,28009.0,23154.0,3873.0,6417.0,234.0,22267.0,0.0,947.0,4242.0,-85.0,1.0,660.0,-452.0,-531.0,838.0,-133.0,14.0,986.0,-514.0
