timestamp,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,surface_pressure,cloud_cover,wind_speed_10m,wind_direction_10m,shortwave_radiation,city
2010-01-01 00:00:00,-0.76,83.4,-3.3,-5.33,0.01,0.0,1001.73,43.6,13.52,112.8,0.0,UK_Average
2010-01-01 01:00:00,-1.02,83.3,-3.52,-5.67,0.0,0.0,1001.66,52.9,14.02,109.9,0.0,UK_Average
2010-01-01 02:00:00,-1.17,83.5,-3.67,-5.79,0.02,0.01,1001.67,55.6,13.67,139.9,0.0,UK_Average
2010-01-01 03:00:00,-1.43,84.5,-3.71,-6.08,0.05,0.05,1001.65,50.9,13.9,135.7,0.0,UK_Average
2010-01-01 04:00:00,-1.79,85.8,-3.87,-6.43,0.05,0.04,1001.58,48.2,13.77,131.6,0.0,UK_Average
2010-01-01 05:00:00,-2.02,86.6,-3.97,-6.63,0.03,0.03,1001.44,45.7,13.44,199.9,0.0,UK_Average
2010-01-01 06:00:00,-2.15,87.0,-4.0,-6.73,0.02,0.02,1001.39,50.8,13.15,196.0,0.0,UK_Average
2010-01-01 07:00:00,-2.33,87.8,-4.08,-6.94,0.04,0.03,1001.53,52.9,13.3,192.8,0.0,UK_Average
2010-01-01 08:00:00,-2.3,87.3,-4.14,-6.93,0.09,0.03,1001.56,56.1,13.36,262.0,0.0,UK_Average
2010-01-01 09:00:00,-2.29,87.9,-4.06,-6.81,0.11,0.04,1001.74,55.1,12.73,258.7,0.0,UK_Average
2010-01-01 10:00:00,-2.23,87.9,-3.98,-6.69,0.06,0.02,1002.03,57.3,12.39,255.0,7.1,UK_Average
2010-01-01 11:00:00,-1.43,86.6,-3.4,-5.85,0.04,0.03,1002.44,60.3,12.62,325.2,57.5,UK_Average
2010-01-01 12:00:00,-0.33,84.1,-2.74,-4.62,0.05,0.04,1002.71,55.1,12.36,325.1,120.0,UK_Average
2010-01-01 13:00:00,0.57,81.5,-2.27,-3.78,0.04,0.04,1002.75,60.3,13.09,327.8,156.7,UK_Average
2010-01-01 14:00:00,1.1,79.7,-2.09,-3.33,0.05,0.03,1002.72,56.7,13.68,326.4,160.9,UK_Average
2010-01-01 15:00:00,1.39,78.3,-2.05,-2.95,0.01,0.01,1002.89,53.2,13.16,288.6,135.8,UK_Average
2010-01-01 16:00:00,1.14,79.8,-2.03,-3.03,0.0,0.0,1003.21,52.1,11.98,284.8,83.9,UK_Average
2010-01-01 17:00:00,0.42,82.1,-2.34,-3.65,0.02,0.02,1003.73,54.8,11.06,277.2,21.6,UK_Average
2010-01-01 18:00:00,-0.2,84.2,-2.58,-4.28,0.02,0.02,1004.04,54.8,10.95,268.8,0.0,UK_Average
2010-01-01 19:00:00,-0.57,85.2,-2.83,-4.74,0.02,0.02,1004.39,56.7,11.12,261.9,0.0,UK_Average
2010-01-01 20:00:00,-0.65,83.9,-3.08,-4.93,0.09,0.08,1004.72,56.8,11.92,260.0,0.0,UK_Average
2010-01-01 21:00:00,-0.69,84.3,-3.08,-5.0,0.1,0.09,1004.92,61.8,12.07,293.3,0.0,UK_Average
2010-01-01 22:00:00,-0.8,85.5,-2.94,-5.19,0.09,0.08,1005.33,64.9,12.62,290.8,0.0,UK_Average
2010-01-01 23:00:00,-0.9,87.5,-2.71,-5.4,0.07,0.07,1005.43,64.4,13.87,288.0,0.0,UK_Average
2010-01-02 00:00:00,-0.86,87.9,-2.62,-5.35,0.05,0.05,1005.56,64.6,13.71,286.8,0.0,UK_Average
2010-01-02 01:00:00,-0.89,88.0,-2.64,-5.4,0.02,0.02,1005.78,66.3,13.83,285.6,0.0,UK_Average
2010-01-02 02:00:00,-0.98,88.0,-2.79,-5.5,0.01,0.0,1006.07,58.2,13.75,286.5,0.0,UK_Average
2010-01-02 03:00:00,-1.06,88.1,-2.82,-5.58,0.06,0.02,1006.33,51.5,13.69,288.9,0.0,UK_Average
2010-01-02 04:00:00,-1.04,88.3,-2.76,-5.53,0.05,0.02,1006.82,48.0,13.55,290.6,0.0,UK_Average
2010-01-02 05:00:00,-1.04,88.7,-2.68,-5.47,0.0,0.0,1007.18,43.4,13.25,292.6,0.0,UK_Average
2010-01-02 06:00:00,-1.14,89.2,-2.73,-5.53,0.0,0.0,1007.43,38.6,12.89,260.7,0.0,UK_Average
2010-01-02 07:00:00,-1.13,89.4,-2.68,-5.53,0.0,0.0,1008.0,33.8,13.02,268.8,0.0,UK_Average
2010-01-02 08:00:00,-1.05,89.0,-2.68,-5.47,0.0,0.0,1008.4,40.7,13.21,236.3,0.0,UK_Average
2010-01-02 09:00:00,-1.06,89.1,-2.67,-5.5,0.06,0.0,1009.08,50.9,13.3,237.4,0.0,UK_Average
2010-01-02 10:00:00,-0.81,89.8,-2.28,-5.3,0.1,0.01,1009.8,55.2,14.21,201.3,6.0,UK_Average
2010-01-02 11:00:00,0.32,89.9,-1.14,-4.19,0.12,0.05,1010.46,60.9,15.23,212.0,50.3,UK_Average
2010-01-02 12:00:00,1.49,87.5,-0.38,-3.26,0.15,0.08,1011.37,60.7,17.48,184.3,100.3,UK_Average
