timestamp,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,surface_pressure,cloud_cover,wind_speed_10m,wind_direction_10m,shortwave_radiation,city
2026-07-01 00:00:00,14.97,91.5,13.51,15.18,0.01,0.01,1016.48,29.6,6.18,221.9,0.0,UK_Average
2026-07-01 01:00:00,14.79,92.8,13.58,15.05,0.0,0.0,1016.64,27.0,6.05,191.7,0.0,UK_Average
2026-07-01 02:00:00,14.48,93.6,13.41,14.67,0.0,0.0,1016.82,32.8,6.05,237.5,0.0,UK_Average
2026-07-01 03:00:00,14.11,94.4,13.22,14.23,0.01,0.01,1016.79,37.1,6.17,263.7,0.0,UK_Average
2026-07-01 04:00:00,13.89,95.3,13.11,13.98,0.01,0.01,1016.8,47.0,6.07,277.9,0.0,UK_Average
2026-07-01 05:00:00,13.7,95.9,13.06,13.74,0.01,0.01,1017.01,54.9,6.43,262.2,1.0,UK_Average
2026-07-01 06:00:00,14.03,95.2,13.28,13.95,0.0,0.0,1017.4,50.4,7.7,260.0,37.7,UK_Average
2026-07-01 07:00:00,15.05,93.1,13.94,15.26,0.0,0.0,1017.72,44.8,7.33,255.1,131.0,UK_Average
2026-07-01 08:00:00,16.13,87.9,14.07,16.41,0.02,0.02,1018.08,48.6,7.04,260.6,257.9,UK_Average
2026-07-01 09:00:00,17.29,80.5,13.76,17.32,0.06,0.06,1018.25,52.1,7.97,266.9,392.4,UK_Average
2026-07-01 10:00:00,18.27,73.6,13.25,18.07,0.07,0.07,1018.21,63.3,9.01,246.5,511.4,UK_Average
2026-07-01 11:00:00,19.09,68.3,12.81,18.84,0.06,0.06,1018.13,86.5,9.5,246.5,577.4,UK_Average
2026-07-01 12:00:00,19.35,66.4,12.62,19.06,0.05,0.05,1018.11,89.2,9.88,242.3,542.5,UK_Average
2026-07-01 13:00:00,19.61,65.5,12.64,19.32,0.08,0.08,1018.15,93.3,10.54,210.7,580.5,UK_Average
2026-07-01 14:00:00,19.36,67.8,12.93,18.87,0.08,0.08,1017.98,93.9,11.2,221.9,485.9,UK_Average
2026-07-01 15:00:00,19.29,68.4,12.95,18.54,0.05,0.05,1017.58,92.9,12.63,221.0,441.4,UK_Average
2026-07-01 16:00:00,19.11,68.4,12.73,18.16,0.13,0.13,1017.15,89.9,13.35,239.2,375.8,UK_Average
2026-07-01 17:00:00,18.77,70.1,12.65,17.5,0.23,0.23,1016.43,91.5,14.59,240.5,309.4,UK_Average
2026-07-01 18:00:00,18.25,71.4,12.51,16.68,0.23,0.23,1015.67,94.0,16.19,236.3,188.8,UK_Average
2026-07-01 19:00:00,17.79,70.9,11.92,15.99,0.15,0.15,1014.95,88.1,16.25,229.5,139.1,UK_Average
2026-07-01 20:00:00,17.42,71.6,11.76,15.49,0.45,0.45,1014.09,87.5,16.84,224.8,84.4,UK_Average
2026-07-01 21:00:00,16.88,73.7,11.79,14.66,0.29,0.29,1013.33,83.0,19.08,223.1,33.9,UK_Average
2026-07-01 22:00:00,16.47,76.5,12.07,13.99,0.15,0.15,1012.7,88.7,21.21,221.7,3.5,UK_Average
2026-07-01 23:00:00,16.33,79.2,12.57,13.88,0.14,0.14,1011.86,90.6,22.25,223.3,0.0,UK_Average
2026-07-02 00:00:00,16.27,81.2,12.89,13.77,0.25,0.25,1011.03,90.2,23.35,227.3,0.0,UK_Average
2026-07-02 01:00:00,15.99,82.7,12.97,13.55,0.21,0.21,1010.24,87.6,22.98,230.3,0.0,UK_Average
2026-07-02 02:00:00,15.89,84.2,13.2,13.31,0.07,0.07,1009.64,88.4,24.59,233.9,0.0,UK_Average
2026-07-02 03:00:00,16.08,85.1,13.54,13.58,0.14,0.14,1009.43,95.5,24.89,243.1,0.0,UK_Average
2026-07-02 04:00:00,15.91,85.0,13.35,13.13,0.14,0.14,1009.37,92.6,26.5,251.9,0.0,UK_Average
2026-07-02 05:00:00,15.46,85.1,12.94,12.62,0.1,0.1,1009.81,93.9,25.82,256.8,0.6,UK_Average
2026-07-02 06:00:00,15.23,83.4,12.4,12.31,0.04,0.04,1010.53,85.9,25.34,265.4,20.0,UK_Average
2026-07-02 07:00:00,15.5,81.5,12.32,12.82,0.02,0.02,1011.4,59.7,23.46,268.0,83.7,UK_Average
2026-07-02 08:00:00,15.8,76.8,11.68,12.75,0.0,0.0,1012.32,45.8,24.61,274.5,207.8,UK_Average
2026-07-02 09:00:00,16.37,70.2,10.87,12.98,0.01,0.01,1013.14,47.5,25.27,281.1,356.3,UK_Average
2026-07-02 10:00:00,17.02,64.6,10.25,13.53,0.01,0.01,1014.05,30.9,24.65,286.4,491.0,UK_Average
2026-07-02 11:00:00,17.77,60.0,9.81,14.65,0.02,0.02,1014.88,44.4,24.27,291.9,642.4,UK_Average
2026-07-02 12:00:00,18.3,56.6,9.4,15.52,0.02,0.02,1015.5,51.0,23.4,293.0,693.1,UK_Average
2026-07-02 13:00:00,19.05,54.4,9.39,16.48,0.02,0.02,1016.36,50.3,23.38,297.5,750.1,UK_Average
2026-07-02 14:00:00,19.22,53.2,9.17,16.72,0.01,0.01,1017.07,58.2,22.76,296.3,762.8,UK_Average
2026-07-02 15:00:00,19.38,52.0,8.97,16.7,0.0,0.0,1017.62,51.9,22.5,296.4,726.8,UK_Average
2026-07-02 16:00:00,19.39,50.5,8.58,16.39,0.0,0.0,1018.11,61.7,22.17,299.0,673.7,UK_Average
2026-07-02 17:00:00,19.05,50.9,8.33,15.6,0.0,0.0,1018.7,48.1,22.19,299.0,564.9,UK_Average
2026-07-02 18:00:00,18.47,51.5,8.01,14.79,0.0,0.0,1019.06,38.4,21.64,298.8,446.3,UK_Average
2026-07-02 19:00:00,17.92,52.6,7.74,14.36,0.0,0.0,1019.55,32.3,20.39,298.3,326.8,UK_Average
2026-07-02 20:00:00,17.1,55.5,7.85,13.7,0.0,0.0,1020.0,27.0,19.42,298.7,191.4,UK_Average
2026-07-02 21:00:00,16.15,60.3,8.22,13.24,0.0,0.0,1020.46,18.8,16.81,296.9,86.3,UK_Average
2026-07-02 22:00:00,15.11,65.3,8.42,12.43,0.0,0.0,1021.17,26.2,15.51,293.7,11.6,UK_Average
2026-07-02 23:00:00,14.38,69.2,8.57,11.89,0.0,0.0,1021.47,25.4,14.52,289.2,0.0,UK_Average
2026-07-03 00:00:00,13.76,72.4,8.67,11.47,0.0,0.0,1021.72,32.9,13.22,282.1,0.0,UK_Average
2026-07-03 01:00:00,12.81,75.8,8.52,10.62,0.0,0.0,1021.8,41.9,12.5,279.4,0.0,UK_Average
2026-07-03 02:00:00,12.61,78.6,8.84,10.64,0.0,0.0,1021.98,66.8,11.45,281.0,0.0,UK_Average
2026-07-03 03:00:00,12.46,80.6,9.11,10.61,0.01,0.01,1021.94,71.9,10.98,249.9,0.0,UK_Average
2026-07-03 04:00:00,12.36,81.9,9.28,10.62,0.0,0.0,1022.03,79.3,10.63,249.5,0.0,UK_Average
2026-07-03 05:00:00,12.13,83.6,9.39,10.49,0.0,0.0,1022.09,87.6,10.21,264.8,0.9,UK_Average
2026-07-03 06:00:00,12.54,83.1,9.72,10.99,0.0,0.0,1022.26,88.3,10.18,255.3,37.1,UK_Average
2026-07-03 07:00:00,13.58,80.0,10.15,12.17,0.0,0.0,1022.3,88.1,9.94,259.9,129.1,UK_Average
2026-07-03 08:00:00,14.84,74.3,10.26,13.34,0.0,0.0,1022.5,90.7,10.92,250.2,237.8,UK_Average
2026-07-03 09:00:00,16.01,67.6,9.98,14.06,0.01,0.01,1022.57,87.2,13.25,254.0,345.3,UK_Average
2026-07-03 10:00:00,17.11,62.3,9.71,14.96,0.0,0.0,1022.56,82.5,14.61,256.2,443.3,UK_Average
2026-07-03 11:00:00,18.13,58.9,9.76,16.15,0.01,0.01,1022.48,81.6,15.65,256.6,558.6,UK_Average
2026-07-03 12:00:00,18.96,56.4,9.84,17.16,0.01,0.01,1022.37,80.7,16.06,258.6,608.3,UK_Average
2026-07-03 13:00:00,19.85,55.5,10.29,18.26,0.01,0.01,1022.16,81.8,16.13,260.1,650.9,UK_Average
2026-07-03 14:00:00,20.27,54.2,10.2,18.7,0.01,0.01,1021.78,68.8,16.02,257.3,630.0,UK_Average
2026-07-03 15:00:00,20.53,53.9,10.24,18.83,0.0,0.0,1021.48,69.7,16.56,258.6,601.8,UK_Average
