timestamp,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,surface_pressure,cloud_cover,wind_speed_10m,wind_direction_10m,shortwave_radiation,city,source
2026-09-20 03:00:00,14.12,76.3,9.99,11.7,0.12,0.12,1012.09,70.1,16.88,261.8,0.0,UK_Average,forecast
2026-09-20 04:00:00,13.89,74.8,9.46,11.31,0.02,0.02,1012.49,69.9,16.96,263.6,0.0,UK_Average,forecast
2026-09-20 05:00:00,13.66,74.2,9.12,10.72,0.02,0.02,1013.17,81.5,18.8,270.2,0.0,UK_Average,forecast
2026-09-20 06:00:00,13.31,76.6,9.26,10.6,0.09,0.09,1013.93,68.2,17.47,272.0,0.0,UK_Average,forecast
2026-09-20 07:00:00,13.03,77.1,9.08,10.33,0.2,0.2,1014.97,43.5,17.08,268.8,0.1,UK_Average,forecast
2026-09-20 08:00:00,13.15,74.4,8.68,10.52,0.0,0.0,1016.13,50.5,15.85,271.0,45.2,UK_Average,forecast
2026-09-20 09:00:00,13.82,70.5,8.5,10.83,0.0,0.0,1017.1,55.5,17.95,273.2,150.7,UK_Average,forecast
2026-09-20 10:00:00,14.62,62.9,7.55,10.94,0.0,0.0,1017.99,46.9,20.97,283.4,299.4,UK_Average,forecast
2026-09-20 11:00:00,15.44,56.8,6.84,11.71,0.0,0.0,1019.03,56.3,20.08,286.8,367.9,UK_Average,forecast
2026-09-20 12:00:00,16.03,53.7,6.51,12.42,0.0,0.0,1019.96,65.0,18.77,288.6,406.9,UK_Average,forecast
2026-09-20 13:00:00,16.64,50.9,6.3,13.17,0.0,0.0,1020.63,56.4,17.6,287.6,481.0,UK_Average,forecast
2026-09-20 14:00:00,16.99,49.1,6.04,13.41,0.0,0.0,1021.06,29.4,18.6,286.8,506.1,UK_Average,forecast
2026-09-20 15:00:00,17.23,49.0,6.18,13.68,0.0,0.0,1021.58,31.7,17.82,286.6,491.8,UK_Average,forecast
2026-09-20 16:00:00,17.23,49.0,6.15,13.77,0.0,0.0,1022.07,25.2,17.27,284.8,399.9,UK_Average,forecast
2026-09-20 17:00:00,17.05,49.2,6.08,13.69,0.0,0.0,1022.73,25.9,16.42,287.2,287.5,UK_Average,forecast
2026-09-20 18:00:00,16.53,52.0,6.42,13.31,0.0,0.0,1023.38,25.9,15.92,285.6,156.0,UK_Average,forecast
2026-09-20 19:00:00,15.62,57.0,6.95,12.72,0.0,0.0,1024.12,29.6,14.69,282.6,41.5,UK_Average,forecast
2026-09-20 20:00:00,14.82,61.9,7.39,12.47,0.0,0.0,1024.91,41.4,11.63,278.0,0.0,UK_Average,forecast
2026-09-20 21:00:00,14.35,64.4,7.52,12.21,0.0,0.0,1025.6,43.2,10.15,280.8,0.0,UK_Average,forecast
2026-09-20 22:00:00,13.82,66.3,7.46,11.73,0.0,0.0,1026.12,36.7,9.68,280.0,0.0,UK_Average,forecast
2026-09-20 23:00:00,13.29,68.0,7.39,11.29,0.0,0.0,1026.4,42.3,8.91,251.2,0.0,UK_Average,forecast
2026-09-21 00:00:00,12.88,69.8,7.38,11.14,0.0,0.0,1026.37,39.5,7.23,213.6,0.0,UK_Average,forecast
2026-09-21 01:00:00,12.5,70.7,7.21,10.77,0.0,0.0,1026.4,34.3,6.96,175.6,0.0,UK_Average,forecast
2026-09-21 02:00:00,12.23,70.9,7.02,10.35,0.0,0.0,1026.22,33.6,7.68,166.2,0.0,UK_Average,forecast
2026-09-21 03:00:00,12.02,71.9,7.03,10.25,0.0,0.0,1026.04,30.1,6.87,158.6,0.0,UK_Average,forecast
2026-09-21 04:00:00,11.81,73.2,7.1,10.22,0.03,0.03,1025.84,30.9,5.9,151.4,0.0,UK_Average,forecast
2026-09-21 05:00:00,11.68,74.3,7.2,10.24,0.04,0.04,1025.76,46.3,5.0,156.2,0.0,UK_Average,forecast
2026-09-21 06:00:00,11.59,76.0,7.44,10.25,0.04,0.04,1025.79,37.9,4.58,134.6,0.0,UK_Average,forecast
2026-09-21 07:00:00,11.54,77.7,7.7,10.16,0.02,0.02,1026.0,31.8,5.33,127.2,0.1,UK_Average,forecast
2026-09-21 08:00:00,11.99,76.0,7.81,10.6,0.05,0.05,1026.15,47.0,5.74,147.4,37.5,UK_Average,forecast
2026-09-21 09:00:00,12.83,74.1,8.17,11.46,0.04,0.04,1026.09,61.4,6.24,181.2,112.1,UK_Average,forecast
2026-09-21 10:00:00,13.88,72.3,8.74,12.48,0.02,0.02,1026.07,61.4,7.64,187.0,192.9,UK_Average,forecast
2026-09-21 11:00:00,14.88,70.4,9.17,13.44,0.02,0.02,1026.07,54.5,8.92,213.6,276.0,UK_Average,forecast
2026-09-21 12:00:00,16.09,66.6,9.37,14.42,0.0,0.0,1026.0,62.1,10.99,220.4,320.8,UK_Average,forecast
2026-09-21 13:00:00,17.05,64.6,9.72,15.53,0.0,0.0,1025.82,60.9,11.37,231.2,333.0,UK_Average,forecast
2026-09-21 14:00:00,17.77,64.4,10.29,16.39,0.0,0.0,1025.66,66.2,11.31,236.4,330.9,UK_Average,forecast
2026-09-21 15:00:00,18.28,63.6,10.46,16.94,0.0,0.0,1025.46,55.0,10.98,230.8,335.7,UK_Average,forecast
