timestamp,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,surface_pressure,cloud_cover,wind_speed_10m,wind_direction_10m,shortwave_radiation,city,source
2026-09-03 15:00:00,20.66,63.0,13.2,19.0,0.0,0.0,1008.08,89.2,18.57,241.8,365.2,UK_Average,history
2026-09-03 16:00:00,20.51,64.5,13.34,19.0,0.03,0.03,1007.9,87.4,17.78,244.0,249.3,UK_Average,history
2026-09-03 17:00:00,20.06,67.7,13.63,18.51,0.08,0.08,1007.52,91.1,18.87,238.2,200.4,UK_Average,history
2026-09-03 18:00:00,19.47,70.4,13.74,17.83,0.05,0.05,1007.26,84.1,19.94,237.8,137.1,UK_Average,history
2026-09-03 19:00:00,18.82,74.9,14.04,17.51,0.12,0.12,1007.01,80.1,18.24,231.8,60.5,UK_Average,history
2026-09-03 20:00:00,18.33,78.4,14.37,17.04,0.06,0.06,1006.58,82.2,18.91,232.2,2.6,UK_Average,history
2026-09-03 21:00:00,17.78,80.5,14.28,16.83,0.12,0.12,1006.45,78.7,16.37,233.0,0.0,UK_Average,history
2026-09-03 22:00:00,17.36,80.6,13.92,16.29,0.13,0.13,1006.03,85.3,16.23,226.8,0.0,UK_Average,history
2026-09-03 23:00:00,17.09,83.4,14.15,16.14,0.23,0.23,1005.46,97.0,15.95,217.8,0.0,UK_Average,history
2026-09-04 00:00:00,16.94,84.0,14.14,15.98,0.48,0.48,1004.72,95.8,16.03,220.8,0.0,UK_Average,history
2026-09-04 01:00:00,16.69,85.8,14.24,15.8,0.59,0.59,1003.71,87.2,15.85,214.8,0.0,UK_Average,history
2026-09-04 02:00:00,16.69,86.6,14.42,15.54,0.73,0.73,1002.95,94.3,18.18,218.8,0.0,UK_Average,history
2026-09-04 03:00:00,16.56,87.7,14.49,15.52,0.72,0.72,1002.24,94.6,17.5,219.6,0.0,UK_Average,history
2026-09-04 04:00:00,16.54,87.8,14.46,15.4,0.34,0.34,1001.94,91.8,18.33,225.8,0.0,UK_Average,history
2026-09-04 05:00:00,16.44,87.1,14.25,15.18,0.19,0.19,1001.34,98.1,18.71,227.2,0.0,UK_Average,history
2026-09-04 06:00:00,16.05,87.5,13.95,14.55,0.22,0.22,1001.34,90.2,19.65,235.2,0.0,UK_Average,history
2026-09-04 07:00:00,15.84,87.8,13.79,14.18,0.45,0.45,1001.23,92.8,20.15,245.4,3.3,UK_Average,history
2026-09-04 08:00:00,15.64,84.8,13.07,13.5,0.19,0.19,1001.65,93.1,21.48,252.8,51.8,UK_Average,history
2026-09-04 09:00:00,15.73,82.5,12.7,13.49,0.1,0.1,1002.0,94.6,21.4,254.2,114.9,UK_Average,history
2026-09-04 10:00:00,16.21,79.3,12.59,13.97,0.1,0.1,1002.05,96.1,21.24,254.4,173.0,UK_Average,history
2026-09-04 11:00:00,16.54,74.6,11.93,13.75,0.22,0.22,1002.72,85.2,23.49,261.8,289.3,UK_Average,history
2026-09-04 12:00:00,17.15,67.2,10.92,13.75,0.04,0.04,1003.32,82.2,25.37,263.0,374.3,UK_Average,history
2026-09-04 13:00:00,17.69,59.8,9.71,13.81,0.0,0.0,1003.96,84.3,26.42,264.8,375.9,UK_Average,history
2026-09-04 14:00:00,17.83,60.3,9.98,13.96,0.04,0.04,1004.72,75.8,26.78,265.8,412.1,UK_Average,history
2026-09-04 15:00:00,18.02,59.1,9.89,14.12,0.01,0.01,1005.17,87.2,26.85,265.4,396.3,UK_Average,history
2026-09-04 16:00:00,17.96,59.8,10.0,14.01,0.0,0.0,1005.54,84.9,27.26,264.6,318.5,UK_Average,history
2026-09-04 17:00:00,17.79,60.0,9.88,14.13,0.0,0.0,1006.12,79.1,24.99,266.6,238.7,UK_Average,history
2026-09-04 18:00:00,17.36,61.1,9.7,13.93,0.01,0.01,1006.69,63.3,23.07,266.0,179.7,UK_Average,history
2026-09-04 19:00:00,17.0,65.0,10.32,13.76,0.0,0.0,1007.42,50.7,22.97,263.6,92.6,UK_Average,history
2026-09-04 20:00:00,16.25,70.3,10.71,13.45,0.22,0.22,1008.08,64.8,20.7,262.6,0.1,UK_Average,history
2026-09-04 21:00:00,15.8,71.7,10.66,13.07,0.02,0.02,1008.64,69.7,20.23,260.8,0.0,UK_Average,history
2026-09-04 22:00:00,15.35,76.1,11.14,12.98,0.04,0.04,1009.11,65.2,18.73,261.2,0.0,UK_Average,history
2026-09-04 23:00:00,14.99,76.4,10.87,12.58,0.07,0.07,1009.43,45.5,18.42,262.0,0.0,UK_Average,history
2026-09-05 00:00:00,14.68,77.1,10.67,12.21,0.01,0.01,1009.63,49.0,18.35,261.2,0.0,UK_Average,history
2026-09-05 01:00:00,14.3,77.9,10.5,11.87,0.02,0.02,1010.12,44.0,17.86,259.2,0.0,UK_Average,history
2026-09-05 02:00:00,14.03,77.8,10.21,11.46,0.0,0.0,1010.62,71.4,18.14,262.0,0.0,UK_Average,history
2026-09-05 03:00:00,13.78,77.5,9.91,11.19,0.0,0.0,1011.21,80.9,17.63,261.4,0.0,UK_Average,history
2026-09-05 04:00:00,13.53,76.5,9.45,10.93,0.0,0.0,1011.77,69.1,16.92,261.0,0.0,UK_Average,history
2026-09-05 05:00:00,13.21,77.2,9.3,10.73,0.04,0.04,1012.53,44.5,15.88,260.6,0.0,UK_Average,history
2026-09-05 06:00:00,13.09,76.8,9.09,10.72,0.01,0.01,1013.06,37.8,14.79,261.6,0.0,UK_Average,history
2026-09-05 07:00:00,12.89,77.9,9.09,10.52,0.01,0.01,1013.83,48.8,14.64,250.8,6.6,UK_Average,history
2026-09-05 08:00:00,13.43,76.1,9.29,10.95,0.03,0.03,1014.37,49.4,15.94,263.6,79.5,UK_Average,history
2026-09-05 09:00:00,14.61,70.3,9.23,12.02,0.0,0.0,1015.03,34.2,16.54,265.8,228.5,UK_Average,history
2026-09-05 10:00:00,15.66,62.7,8.53,12.77,0.0,0.0,1015.8,31.7,17.24,273.8,325.4,UK_Average,history
2026-09-05 11:00:00,16.71,57.5,8.22,13.85,0.0,0.0,1016.37,46.6,16.5,276.0,401.7,UK_Average,history
2026-09-05 12:00:00,17.36,55.4,8.24,14.68,0.0,0.0,1016.88,48.3,15.95,277.4,469.3,UK_Average,history
2026-09-05 13:00:00,18.05,52.1,7.94,15.47,0.0,0.0,1017.16,50.0,15.62,276.2,491.1,UK_Average,history
2026-09-05 14:00:00,18.59,51.4,8.22,16.08,0.0,0.0,1017.48,49.9,15.74,269.6,489.9,UK_Average,history
2026-09-05 15:00:00,18.82,51.5,8.43,16.25,0.0,0.0,1017.68,48.6,15.45,269.6,458.6,UK_Average,history
2026-09-05 16:00:00,18.9,50.1,8.02,16.3,0.0,0.0,1017.67,43.8,14.51,262.6,405.9,UK_Average,history
2026-09-05 17:00:00,18.77,52.4,8.54,16.4,0.0,0.0,1017.88,37.4,13.73,265.4,325.9,UK_Average,history
2026-09-05 18:00:00,18.45,54.4,8.76,16.33,0.0,0.0,1017.98,39.8,12.52,266.8,208.0,UK_Average,history
2026-09-05 19:00:00,17.95,57.1,8.98,15.98,0.0,0.0,1018.34,37.2,11.7,265.0,93.8,UK_Average,history
2026-09-05 20:00:00,17.24,59.8,9.07,15.61,0.0,0.0,1018.51,37.5,9.62,264.8,0.0,UK_Average,history
2026-09-05 21:00:00,16.66,62.5,9.29,15.39,0.0,0.0,1018.59,55.7,7.53,256.8,0.0,UK_Average,history
2026-09-05 22:00:00,16.05,66.0,9.58,14.72,0.0,0.0,1018.63,41.3,8.41,255.0,0.0,UK_Average,history
2026-09-05 23:00:00,15.69,68.8,9.84,14.77,0.0,0.0,1018.57,46.6,6.05,241.0,0.0,UK_Average,history
2026-09-06 00:00:00,15.29,70.8,9.94,14.47,0.0,0.0,1018.69,52.4,5.65,201.6,0.0,UK_Average,history
2026-09-06 01:00:00,14.98,72.5,10.0,14.2,0.02,0.02,1018.27,49.9,5.43,189.8,0.0,UK_Average,history
2026-09-06 02:00:00,14.55,75.0,10.07,13.82,0.07,0.07,1017.78,61.7,5.39,161.6,0.0,UK_Average,history
2026-09-06 03:00:00,14.27,77.3,10.29,13.59,0.03,0.03,1017.11,61.8,5.43,146.6,0.0,UK_Average,history
2026-09-06 04:00:00,14.11,80.7,10.78,13.41,0.07,0.07,1016.34,68.2,6.57,134.0,0.0,UK_Average,history
2026-09-06 05:00:00,13.92,83.1,11.04,13.16,0.06,0.06,1015.67,52.8,7.48,126.4,0.0,UK_Average,history
2026-09-06 06:00:00,13.91,83.5,11.1,13.08,0.06,0.06,1015.17,67.1,8.1,158.0,0.0,UK_Average,history
2026-09-06 07:00:00,14.01,84.3,11.32,13.29,0.12,0.12,1014.7,80.1,7.75,126.6,4.8,UK_Average,history
2026-09-06 08:00:00,14.53,83.9,11.76,13.81,0.23,0.23,1014.43,73.0,8.83,133.4,65.3,UK_Average,history
2026-09-06 09:00:00,15.54,80.3,12.07,14.72,0.43,0.43,1014.1,64.5,10.12,132.0,148.3,UK_Average,history
2026-09-06 10:00:00,16.63,77.1,12.41,15.76,0.24,0.24,1013.76,67.6,11.15,171.4,263.0,UK_Average,history
2026-09-06 11:00:00,17.79,73.4,12.69,16.73,0.04,0.04,1013.19,77.9,13.19,177.4,280.0,UK_Average,history
2026-09-06 12:00:00,18.67,71.2,13.0,17.77,0.06,0.06,1012.58,69.9,13.38,173.6,369.7,UK_Average,history
2026-09-06 13:00:00,19.77,67.2,12.98,18.9,0.2,0.2,1011.94,75.4,14.01,168.8,413.1,UK_Average,history
2026-09-06 14:00:00,21.16,59.6,12.37,19.91,0.01,0.01,1011.32,70.0,16.06,186.8,527.3,UK_Average,history
2026-09-06 15:00:00,21.99,53.6,11.39,20.14,0.01,0.01,1010.48,69.9,16.92,188.8,476.7,UK_Average,history
2026-09-06 16:00:00,22.46,52.9,11.66,20.43,0.01,0.01,1009.99,67.7,17.62,196.8,407.1,UK_Average,history
2026-09-06 17:00:00,22.37,55.3,12.35,20.49,0.0,0.0,1009.2,76.7,17.92,193.2,321.5,UK_Average,history
2026-09-06 18:00:00,21.77,58.5,12.73,20.03,0.01,0.01,1008.64,85.7,17.92,187.2,165.7,UK_Average,history
2026-09-06 19:00:00,21.31,59.9,12.78,19.63,0.0,0.0,1008.27,76.7,17.61,182.6,74.7,UK_Average,history
2026-09-06 20:00:00,20.75,63.4,13.24,19.21,0.0,0.0,1008.08,76.6,17.58,179.0,0.0,UK_Average,history
2026-09-06 21:00:00,20.2,66.2,13.39,19.09,0.0,0.0,1007.95,79.0,15.15,184.2,0.0,UK_Average,history
2026-09-06 22:00:00,19.64,69.6,13.67,18.75,0.01,0.01,1007.92,94.3,14.29,192.6,0.0,UK_Average,history
2026-09-06 23:00:00,19.1,72.3,13.76,18.32,0.16,0.16,1007.83,87.5,13.85,197.6,0.0,UK_Average,history
2026-09-07 00:00:00,18.8,73.4,13.8,18.31,0.0,0.0,1007.67,85.7,11.89,204.6,0.0,UK_Average,history
2026-09-07 01:00:00,18.35,76.3,13.96,17.98,0.0,0.0,1007.58,67.0,11.46,206.0,0.0,UK_Average,history
2026-09-07 02:00:00,17.76,78.3,13.85,17.37,0.01,0.01,1007.43,71.9,11.32,221.2,0.0,UK_Average,history
2026-09-07 03:00:00,17.29,80.1,13.77,16.84,0.0,0.0,1007.37,77.4,11.45,226.4,0.0,UK_Average,history
2026-09-07 04:00:00,16.98,81.9,13.82,16.45,0.0,0.0,1007.18,97.6,12.33,228.0,0.0,UK_Average,history
2026-09-07 05:00:00,16.75,82.6,13.73,16.1,0.0,0.0,1007.03,89.7,12.93,229.0,0.0,UK_Average,history
2026-09-07 06:00:00,16.56,84.0,13.82,15.9,0.0,0.0,1007.26,84.5,13.25,234.2,0.0,UK_Average,history
2026-09-07 07:00:00,16.21,85.5,13.77,15.38,0.03,0.03,1007.42,85.3,14.47,240.6,4.0,UK_Average,history
2026-09-07 08:00:00,16.35,83.1,13.45,15.32,0.01,0.01,1007.64,99.7,14.83,241.4,49.0,UK_Average,history
2026-09-07 09:00:00,16.74,79.9,13.24,15.51,0.0,0.0,1008.08,96.8,15.73,249.8,135.3,UK_Average,history
2026-09-07 10:00:00,17.18,76.6,12.97,15.96,0.11,0.11,1008.23,91.2,15.04,247.2,197.4,UK_Average,history
2026-09-07 11:00:00,17.58,69.4,11.84,15.72,0.0,0.0,1008.58,93.8,16.85,250.8,306.7,UK_Average,history
2026-09-07 12:00:00,17.94,66.5,11.51,15.97,0.0,0.0,1008.71,86.9,16.74,247.8,369.8,UK_Average,history
2026-09-07 13:00:00,18.14,64.0,11.07,16.02,0.0,0.0,1008.73,95.3,17.03,245.8,361.7,UK_Average,history
2026-09-07 14:00:00,18.43,62.3,10.94,16.27,0.01,0.01,1008.38,86.5,17.43,243.6,418.4,UK_Average,history
2026-09-07 15:00:00,18.74,59.4,10.51,16.28,0.0,0.0,1008.05,92.4,18.11,238.0,380.2,UK_Average,history
2026-09-07 16:00:00,19.04,56.3,9.95,16.24,0.0,0.0,1007.24,77.1,19.28,235.0,396.3,UK_Average,history
2026-09-07 17:00:00,18.58,60.4,10.49,15.95,0.02,0.02,1006.66,79.6,19.19,234.8,277.9,UK_Average,history
2026-09-07 18:00:00,17.98,63.2,10.67,15.18,0.03,0.03,1006.38,95.7,20.84,235.2,142.2,UK_Average,history
2026-09-07 19:00:00,17.26,68.0,11.13,14.65,0.09,0.09,1006.13,99.7,20.65,233.0,50.2,UK_Average,history
2026-09-07 20:00:00,16.63,69.9,11.0,14.08,0.1,0.1,1005.93,99.5,19.85,239.8,0.0,UK_Average,history
2026-09-07 21:00:00,15.79,74.2,11.08,13.59,0.34,0.34,1005.72,99.1,17.53,237.8,0.0,UK_Average,history
2026-09-07 22:00:00,15.49,76.2,11.17,13.52,0.29,0.29,1005.0,95.8,15.98,224.6,0.0,UK_Average,history
2026-09-07 23:00:00,14.98,78.0,11.06,12.68,0.33,0.33,1004.21,99.7,18.07,228.6,0.0,UK_Average,history
2026-09-08 00:00:00,14.62,79.1,10.92,11.98,0.2,0.2,1003.86,90.5,20.33,221.6,0.0,UK_Average,history
2026-09-08 01:00:00,14.47,80.3,11.02,12.1,0.33,0.33,1002.99,84.9,18.68,223.2,0.0,UK_Average,history
2026-09-08 02:00:00,14.31,82.1,11.23,12.08,0.27,0.27,1002.54,94.2,18.15,225.8,0.0,UK_Average,history
2026-09-08 03:00:00,13.87,83.1,10.98,11.54,0.33,0.33,1001.92,97.6,18.19,227.6,0.0,UK_Average,history
2026-09-08 04:00:00,13.6,85.2,11.1,11.4,0.39,0.39,1001.28,91.5,17.47,223.6,0.0,UK_Average,history
2026-09-08 05:00:00,13.26,86.3,10.98,11.2,0.48,0.48,1000.67,97.0,16.32,222.8,0.0,UK_Average,history
2026-09-08 06:00:00,13.17,85.8,10.81,11.05,0.29,0.29,1000.19,88.4,16.58,224.0,0.0,UK_Average,history
2026-09-08 07:00:00,12.99,85.6,10.58,10.82,0.43,0.43,1000.16,94.6,16.31,226.6,3.0,UK_Average,history
2026-09-08 08:00:00,13.11,86.8,10.9,10.91,0.79,0.79,1000.04,93.6,17.14,237.6,37.5,UK_Average,history
2026-09-08 09:00:00,13.34,85.6,10.95,11.05,0.54,0.54,999.82,95.0,17.79,243.2,96.2,UK_Average,history
2026-09-08 10:00:00,13.99,83.5,11.17,11.92,0.44,0.44,999.55,79.9,16.71,250.8,175.0,UK_Average,history
